,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
6402,6402,2023-03-01T18:51:56.500699,4580,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0007533599,-0.03727579,0.002598817)","(-0.02768649,1.257722,0.2587226)","(0.3855809,-0.36066,0.5561131,-0.6418645)","(-0.0009808245,0.0007095227,0.005667592)",True
6403,6403,2023-03-01T18:51:56.500699,4580,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0007533599,-0.03727579,0.002598817)","(-0.02768649,1.257722,0.2587226)","(0.3855809,-0.36066,0.5561131,-0.6418645)","(-0.0009808245,0.0007095227,0.005667592)",True
6404,6404,2023-03-01T18:51:56.534700,4581,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002625527,-0.04021224,0.002074119)","(-0.02749497,1.257714,0.258964)","(0.3858663,-0.3610454,0.5558836,-0.6416751)","(-0.0001183579,0.0005737392,0.007869084)",True
6405,6405,2023-03-01T18:51:56.556700,4582,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.00215926,-0.03704641,0.002117551)","(-0.0273992,1.257784,0.2588066)","(0.3861114,-0.3613161,0.5557334,-0.6415052)","(-0.000885847,0.001399699,0.006938402)",True
6406,6406,2023-03-01T18:51:56.578700,4583,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001998304,-0.03920597,0.000650267)","(-0.02754029,1.257653,0.2591295)","(0.386433,-0.3616035,0.5554642,-0.6413828)","(-0.001261075,0.0001455785,0.007963832)",True
6407,6407,2023-03-01T18:51:56.578700,4583,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001998304,-0.03920597,0.000650267)","(-0.02754029,1.257653,0.2591295)","(0.386433,-0.3616035,0.5554642,-0.6413828)","(-0.001261075,0.0001455785,0.007963832)",True
6408,6408,2023-03-01T18:51:56.612701,4584,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003574635,-0.03681836,0.001612901)","(-0.02758053,1.257675,0.2591299)","(0.3866542,-0.3618729,0.5552799,-0.6412573)","(-0.002448789,0.0005622851,0.007815761)",True
6409,6409,2023-03-01T18:51:56.636703,4585,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003244273,-0.03791486,0.0001714105)","(-0.02730887,1.257677,0.2589445)","(0.3869168,-0.3621827,0.5550662,-0.641109)","(-0.001988502,0.0004126196,0.007450374)",True
6410,6410,2023-03-01T18:51:56.667711,4586,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-3.948708E-05,-0.03517769,0.001186802)","(-0.02715828,1.257711,0.2588491)","(0.3870949,-0.3624444,0.5548964,-0.6410004)","(-0.001913803,0.0004582574,0.00727142)",True
6411,6411,2023-03-01T18:51:56.668701,4586,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-3.948708E-05,-0.03517769,0.001186802)","(-0.02715828,1.257711,0.2588491)","(0.3870949,-0.3624444,0.5548964,-0.6410004)","(-0.001913803,0.0004582574,0.00727142)",True
6412,6412,2023-03-01T18:51:56.692701,4587,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001975302,-0.0326824,-0.001180275)","(-0.02699342,1.257725,0.2587576)","(0.3873016,-0.3626238,0.5547602,-0.640892)","(-0.001150064,0.000428818,0.006340932)",True
6413,6413,2023-03-01T18:51:56.723700,4588,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001850108,-0.03489665,0.002121816)","(-0.0269373,1.257693,0.2586796)","(0.3875268,-0.3629827,0.5545675,-0.6407195)","(-0.001678007,0.0003997836,0.006137818)",True
6414,6414,2023-03-01T18:51:56.723700,4588,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001850108,-0.03489665,0.002121816)","(-0.0269373,1.257693,0.2586796)","(0.3875268,-0.3629827,0.5545675,-0.6407195)","(-0.001678007,0.0003997836,0.006137818)",True
6415,6415,2023-03-01T18:51:56.748700,4589,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0007209569,-0.03394556,-0.0007209948)","(-0.02715234,1.257714,0.2590151)","(0.3878041,-0.3632332,0.5543061,-0.640636)","(-0.00215579,0.0007145883,0.0065953)",True
6416,6416,2023-03-01T18:51:56.779700,4590,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001203327,-0.033889,0.0006982145)","(-0.02718953,1.257548,0.2591077)","(0.3880135,-0.3635423,0.5541181,-0.6404965)","(-0.002687174,-0.0003585244,0.007182158)",True
