,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
1290,2080,2023-03-10T14:07:04.215049,3699,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003018119,0.001803103,-0.01256991)","(0.397976,1.089778,0.1123665)","(-0.1379259,0.8786126,-0.009350597,0.4570875)","(0.001851824,-0.0008103964,-0.002715136)",True
1291,2081,2023-03-10T14:07:04.238050,3701,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001681816,0.01640267,-0.0112488)","(0.398021,1.089803,0.1123855)","(-0.1380452,0.8783886,-0.00940124,0.4574806)","(0.002447092,-0.0004019313,-0.002452555)",True
1292,2082,2023-03-10T14:07:04.249066,3702,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001131649,0.01744051,-0.001530009)","(0.3980035,1.089772,0.1123465)","(-0.1377974,0.8783919,-0.009455788,0.457548)","(0.001526926,-0.0009420049,-0.002522971)",True
1293,2083,2023-03-10T14:07:04.271069,3704,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.00400259,0.003154,-0.01487911)","(0.3978997,1.089853,0.112384)","(-0.1382345,0.8784149,-0.009253022,0.4573763)","(0.0003479661,-8.126823E-05,-0.00297945)",True
1294,2084,2023-03-10T14:07:04.293706,3706,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.006066818,0.006313529,-0.009385499)","(0.3981001,1.089796,0.1122611)","(-0.1382563,0.8783615,-0.009359651,0.4574698)","(0.001700997,-0.0007466841,-0.003235824)",True
1295,2085,2023-03-10T14:07:04.315706,3708,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001969057,0.008672575,-0.0166151)","(0.3981635,1.089811,0.1122739)","(-0.1383492,0.8782616,-0.009273983,0.4576354)","(0.002735354,-0.0005875534,-0.003772849)",True
1296,2086,2023-03-10T14:07:04.327380,3709,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.004253403,0.004379505,-0.004906092)","(0.3981383,1.08993,0.1123135)","(-0.1384075,0.878283,-0.009477434,0.4575727)","(0.002329834,0.0006678825,-0.003503497)",True
1297,2087,2023-03-10T14:07:04.349398,3711,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.000383358,0.0140012,-0.001298745)","(0.3981032,1.089826,0.112328)","(-0.1381584,0.8781676,-0.009347084,0.4578718)","(0.001901571,-0.0006410512,-0.002804127)",True
1298,2088,2023-03-10T14:07:04.372397,3713,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.00226063,0.01028253,-0.006712158)","(0.398022,1.089903,0.1124428)","(-0.1385221,0.8780885,-0.009379128,0.4579129)","(0.001217705,-0.0001521575,-0.002330841)",True
1299,2089,2023-03-10T14:07:04.394414,3715,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.004994045,0.007573721,-0.006314809)","(0.3980545,1.089933,0.1124349)","(-0.1385858,0.878077,-0.009193127,0.4579194)","(0.0007627358,0.0004574662,-0.001969533)",True
