,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
3104,3104,2023-03-01T18:50:50.531571,2216,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.02356873,0.02383582,0.01472626)","(-0.03064646,1.244775,0.1404923)","(-0.2736359,0.3882776,0.5316136,-0.7012495)","(0.003963707,0.002459543,-0.003116198)",True
3105,3105,2023-03-01T18:50:50.556570,2217,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.02103278,0.02475878,0.008738662)","(-0.03052728,1.244834,0.1403928)","(-0.2739899,0.3884134,0.5316238,-0.7010283)","(0.004094356,0.002325068,-0.003316716)",True
3106,3106,2023-03-01T18:50:50.587572,2218,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01700365,0.0259186,0.01101009)","(-0.03040071,1.2449,0.1402688)","(-0.2742631,0.388617,0.5317863,-0.7006853)","(0.004235315,0.002314306,-0.003696273)",True
3107,3107,2023-03-01T18:50:50.587572,2218,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01700365,0.0259186,0.01101009)","(-0.03040071,1.2449,0.1402688)","(-0.2742631,0.388617,0.5317863,-0.7006853)","(0.004235315,0.002314306,-0.003696273)",True
3108,3108,2023-03-01T18:50:50.621571,2219,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.02426631,0.02454579,0.01358805)","(-0.03028156,1.245,0.1401567)","(-0.2746823,0.3886685,0.5320546,-0.7002888)","(0.004031427,0.002833008,-0.003723597)",True
3109,3109,2023-03-01T18:50:50.621571,2219,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.02426631,0.02454579,0.01358805)","(-0.03028156,1.245,0.1401567)","(-0.2746823,0.3886685,0.5320546,-0.7002888)","(0.004031427,0.002833008,-0.003723597)",True
3110,3110,2023-03-01T18:50:50.643570,2220,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.01969617,0.02602908,0.01273146)","(-0.03016554,1.245058,0.140049)","(-0.2749679,0.3888767,0.5321216,-0.7000102)","(0.004133381,0.002575193,-0.003733544)",True
3111,3111,2023-03-01T18:50:50.676576,2221,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.02184066,0.02647345,0.0113163)","(-0.03002768,1.245159,0.1399552)","(-0.2753326,0.3889666,0.5322587,-0.6997126)","(0.004659347,0.003155787,-0.003588113)",True
3112,3112,2023-03-01T18:50:50.699573,2222,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.02358102,0.02383119,0.01471407)","(-0.02990002,1.24525,0.1398671)","(-0.2756313,0.389067,0.5324762,-0.6993736)","(0.004574016,0.003248795,-0.0033799)",True
3113,3113,2023-03-01T18:50:50.699573,2222,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.02358102,0.02383119,0.01471407)","(-0.02990002,1.24525,0.1398671)","(-0.2756313,0.389067,0.5324762,-0.6993736)","(0.004574016,0.003248795,-0.0033799)",True
3114,3114,2023-03-01T18:50:50.722578,2223,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.02191619,0.02477668,0.01329683)","(-0.02979201,1.245314,0.1397647)","(-0.2759164,0.3892047,0.532573,-0.6991108)","(0.004514807,0.002980056,-0.003768443)",True
