,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
860,1650,2023-03-10T14:06:55.614874,2929,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002438041,0.002852421,-0.005192198)","(0.3919408,1.087006,0.1120329)","(-0.1060738,0.8992485,-0.01919711,0.423948)","(-0.0003082573,0.0005260261,0.0005403394)",True
861,1651,2023-03-10T14:06:55.641892,2931,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.004280405,0.002689845,-0.02482848)","(0.3920752,1.086959,0.1119267)","(-0.1067666,0.8991248,-0.01909585,0.424041)","(0.001096073,0.0001824398,-0.0001786764)",True
862,1652,2023-03-10T14:06:55.648892,2932,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001247246,0.01175468,-0.007399558)","(0.3920725,1.086933,0.1119594)","(-0.1062201,0.8990844,-0.01900637,0.4242679)","(0.001174549,0.0002100871,0.0001359779)",True
863,1653,2023-03-10T14:06:55.668298,2934,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.002347543,0.007666817,-0.004021939)","(0.3921043,1.086954,0.1119978)","(-0.1064033,0.8990742,-0.01907549,0.4242405)","(0.001200101,-0.0003463493,0.0004365363)",True
864,1654,2023-03-10T14:06:55.690438,2936,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.005274332,-0.0009480388,-0.02886482)","(0.3922344,1.086965,0.1119354)","(-0.1069808,0.8990756,-0.01875692,0.4241066)","(0.002297471,-0.0001177707,0.0006131558)",True
865,1655,2023-03-10T14:06:55.712369,2938,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.002457897,0.01817239,-0.006753555)","(0.3921765,1.086918,0.1119491)","(-0.106443,0.8988928,-0.01880499,0.424627)","(0.001210135,-0.0007529148,0.0007295646)",True
866,1656,2023-03-10T14:06:55.734442,2940,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001036723,0.007228181,-0.0007730918)","(0.3921543,1.086968,0.1119095)","(-0.1065814,0.8989235,-0.01899669,0.4245187)","(2.184601E-05,-0.0001162814,-1.456715E-05)",True
867,1657,2023-03-10T14:06:55.757475,2942,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001215024,0.008197585,-0.01767863)","(0.3924202,1.086994,0.1119422)","(-0.1068794,0.8988537,-0.0186099,0.4246087)","(0.002341312,0.0006928995,0.001427618)",True
868,1658,2023-03-10T14:06:55.768476,2943,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.005014567,0.01204159,-0.00864944)","(0.3924071,1.086999,0.1119416)","(-0.1068411,0.898798,-0.01876202,0.4247293)","(0.002064717,0.0005233583,0.0008454853)",True
869,1659,2023-03-10T14:06:55.791473,2945,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.00500933,0.006822723,0.001120172)","(0.3922863,1.087021,0.1118409)","(-0.1065912,0.8988491,-0.01866393,0.4246885)","(0.001017847,0.0009743618,-0.0003584428)",True
