,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
1512,1865,2023-04-06T20:09:37.753126,1976,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002178116,0.00399961,-0.01732477)","(0.02032062,0.9612322,0.344615)","(-0.5574914,0.398951,0.4576325,-0.5662277)","(0.0008639286,-0.001196205,-0.0006781265)",True
1513,1866,2023-04-06T20:09:37.764126,1977,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0004176092,0.00240373,-0.01728062)","(0.02044385,0.9612159,0.3445218)","(-0.5574772,0.3988869,0.4575633,-0.5663428)","(0.001447696,-0.001063421,-0.001114076)",True
1514,1867,2023-04-06T20:09:37.775123,1978,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001356801,0.000813729,-0.01723492)","(0.02038693,0.9612457,0.3445364)","(-0.5575296,0.3987943,0.4575412,-0.5663744)","(0.001047998,-0.0005904975,-0.001284503)",True
1515,1868,2023-04-06T20:09:37.786123,1979,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0004644068,0.001178078,-0.01940812)","(0.02030573,0.961266,0.3446671)","(-0.5576407,0.3987172,0.4574699,-0.5663768)","(0.0006768201,-0.0004146446,-6.991059E-05)",True
1516,1869,2023-04-06T20:09:37.798125,1980,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0008545474,0.0004256868,-0.0195127)","(0.02035579,0.9612028,0.344618)","(-0.5575989,0.3986874,0.4573705,-0.5665194)","(0.0007084646,-0.0008703212,-0.0002279963)",True
1517,1870,2023-04-06T20:09:37.809123,1981,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0009777962,0.0003498658,-0.01738814)","(0.02029813,0.961225,0.3446425)","(-0.5576261,0.3986526,0.4573233,-0.5665553)","(0.0002902798,-0.0005959078,-0.0003104453)",True
1518,1871,2023-04-06T20:09:37.820124,1982,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0008038725,0.002241285,-0.02041845)","(0.02019201,0.9612295,0.3447061)","(-0.5577953,0.3985586,0.4572451,-0.5665178)","(-4.963909E-05,-0.0007836671,0.0001439721)",True
1519,1872,2023-04-06T20:09:37.831125,1983,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001165286,0.00417066,-0.01712884)","(0.02025621,0.9612405,0.3445927)","(-0.5577675,0.3985756,0.4571552,-0.5666057)","(1.7464E-05,-0.0005004282,-0.001026468)",True
1520,1873,2023-04-06T20:09:37.842124,1984,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001814174,-0.001526921,-0.01729383)","(0.02022923,0.9612446,0.3446063)","(-0.5577757,0.3984456,0.4571639,-0.5666821)","(-0.0001878852,-0.0004747428,-0.0007398462)",True
1521,1874,2023-04-06T20:09:37.854123,1985,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.000158542,0.004464125,-0.0171732)","(0.02015403,0.9612693,0.3447482)","(-0.5579482,0.3984509,0.4570771,-0.5665786)","(-0.0003442491,-0.0003431752,0.0004116906)",True
