,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
4479,4479,2023-03-01T18:51:18.043098,3203,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002605892,-0.03228253,0.0004274921)","(-0.06623293,1.253822,0.1809153)","(-0.06401174,0.1250179,0.6532256,-0.7440224)","(-0.0003449075,2.435864E-06,0.001336224)",True
4480,4480,2023-03-01T18:51:18.043098,3203,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002605892,-0.03228253,0.0004274921)","(-0.06623293,1.253822,0.1809153)","(-0.06401174,0.1250179,0.6532256,-0.7440224)","(-0.0003449075,2.435864E-06,0.001336224)",True
4481,4481,2023-03-01T18:51:18.066109,3204,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001878256,-0.03249012,-0.0008761373)","(-0.06717522,1.253672,0.1818902)","(-0.06376815,0.1247048,0.653228,-0.7440938)","(-0.00341794,-0.0007295263,0.004650523)",True
4482,4482,2023-03-01T18:51:18.099099,3205,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001127684,-0.03475314,-0.0009298579)","(-0.06720167,1.25359,0.1819904)","(-0.06343559,0.124303,0.6532689,-0.7441536)","(-0.00347269,-0.001046033,0.005059582)",True
4483,4483,2023-03-01T18:51:18.099099,3205,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001127684,-0.03475314,-0.0009298579)","(-0.06720167,1.25359,0.1819904)","(-0.06343559,0.124303,0.6532689,-0.7441536)","(-0.00347269,-0.001046033,0.005059582)",True
4484,4484,2023-03-01T18:51:18.122098,3206,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002597549,-0.03836304,0.004151658)","(-0.06632005,1.253821,0.181246)","(-0.06294355,0.1238746,0.6533797,-0.7441695)","(-0.0003781485,0.0002695413,0.00256028)",True
4485,4485,2023-03-01T18:51:18.155110,3207,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002275766,-0.03769046,0.0007010158)","(-0.06642218,1.253844,0.1813148)","(-0.06263772,0.1235326,0.6533704,-0.7442603)","(-0.001215389,0.0005793929,0.002329239)",True
4486,4486,2023-03-01T18:51:18.177098,3208,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.002890443,-0.03843745,0.003124827)","(-0.06638938,1.253844,0.1812887)","(-0.06222351,0.1231611,0.6534357,-0.7442993)","(-0.001177964,0.0003620356,0.001704301)",True
4487,4487,2023-03-01T18:51:18.210100,3209,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001256088,-0.03585123,-0.0008215391)","(-0.06629888,1.253827,0.1812868)","(-0.06189277,0.1227437,0.653401,-0.7444262)","(-0.0001545339,-0.0001065687,0.001206931)",True
4488,4488,2023-03-01T18:51:18.210100,3209,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001256088,-0.03585123,-0.0008215391)","(-0.06629888,1.253827,0.1812868)","(-0.06189277,0.1227437,0.653401,-0.7444262)","(-0.0001545339,-0.0001065687,0.001206931)",True
