,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
2016,2369,2023-04-06T20:09:43.796243,2517,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.00217436,0.0002756033,-0.01605633)","(0.02135275,0.9590203,0.3444551)","(-0.5819278,0.3669007,0.4226139,-0.5900351)","(0.001439773,-0.0004418947,-0.0004380267)",True
2017,2370,2023-04-06T20:09:43.807242,2518,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0005710118,-0.001200778,-0.01939434)","(0.0213171,0.9590304,0.3444221)","(-0.5819612,0.3667814,0.4225214,-0.5901426)","(0.001052339,-0.0002383151,-0.001104096)",True
2018,2371,2023-04-06T20:09:43.818243,2519,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0007350626,0.002138648,-0.01820822)","(0.02128544,0.9590453,0.3445031)","(-0.5821253,0.3667647,0.4224745,-0.5900247)","(0.001036176,-0.0002931287,-0.0002601611)",True
2019,2372,2023-04-06T20:09:43.829242,2520,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.001401738,-0.0003981328,-0.01947598)","(0.02130068,0.9589645,0.3444671)","(-0.5820411,0.3667125,0.4223657,-0.5902181)","(0.000996011,-0.001063616,-0.0007403647)",True
2020,2373,2023-04-06T20:09:43.841243,2521,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.000321406,0.001142655,-0.01826487)","(0.02128681,0.9589592,0.3444679)","(-0.582117,0.3666679,0.4223038,-0.5902153)","(0.0008314261,-0.001041656,-0.0008552068)",True
2021,2374,2023-04-06T20:09:43.852243,2522,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.002120647,0.002731152,-0.01811114)","(0.02125519,0.9589555,0.3445235)","(-0.5823042,0.3666153,0.4222696,-0.5900876)","(0.0009577615,-0.00129846,-0.0005115197)",True
2022,2375,2023-04-06T20:09:43.863242,2523,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.002689451,0.001333255,-0.01811875)","(0.02125364,0.9589709,0.344506)","(-0.5822143,0.3665895,0.422219,-0.5902286)","(0.001058078,-0.0007918051,-0.0007763525)",True
2023,2376,2023-04-06T20:09:43.874242,2524,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0008428916,0.001446957,-0.01510969)","(0.0212022,0.9589845,0.3445322)","(-0.5821913,0.3665981,0.4221712,-0.5902801)","(0.0008131475,-0.0007157251,-0.0007285916)",True
2024,2377,2023-04-06T20:09:43.897244,2526,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0009376196,-0.001843365,-0.01735711)","(0.02127708,0.9590179,0.3445078)","(-0.5822611,0.3664135,0.4220234,-0.5904316)","(0.001115051,-0.0002164714,-0.0008101772)",True
2025,2378,2023-04-06T20:09:43.908244,2527,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001949816,-0.0006056918,-0.01929348)","(0.02126944,0.9590238,0.3444898)","(-0.5823656,0.3663236,0.4219441,-0.590441)","(0.0009871463,-0.0001416781,-0.001245352)",True
2026,2379,2023-04-06T20:09:43.919243,2528,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.003498248,0.003316072,-0.01801431)","(0.02118593,0.9590338,0.3444873)","(-0.5825282,0.3663121,0.4218863,-0.5903289)","(4.179136E-05,-0.0002083112,-0.001277804)",True
2027,2380,2023-04-06T20:09:43.930243,2529,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0004141791,-0.00326029,-0.01630247)","(0.02121991,0.958979,0.3444463)","(-0.5823684,0.3662674,0.4218789,-0.5905198)","(0.0002586323,-0.0005632355,-0.001407697)",True
2028,2381,2023-04-06T20:09:43.941243,2530,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.002053616,0.001937961,-0.0245421)","(0.02120413,0.9589816,0.3444456)","(-0.5825683,0.3661308,0.421658,-0.590565)","(0.0003821319,-0.000547186,-0.001390205)",True
