,Unnamed: 0,Timestamp,FrameCount,Manufacturer,Name,SerialNumber,Acceleration,AngularAcceleration,AngularVelocity,Position,Rotation,Velocity,IsTracked
6020,6810,2023-03-10T14:08:38.812942,12168,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.01831445,0.01032441,-0.01331994)","(0.3981406,1.132578,0.1615854)","(-0.4715116,0.5164897,-0.04126678,0.7135912)","(-0.0005548937,0.002677569,0.0005533092)",True
6021,6811,2023-03-10T14:08:38.834941,12170,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0005786297,0.00597275,-0.001178136)","(0.3980575,1.132583,0.1615348)","(-0.4711602,0.5166321,-0.04120833,0.7137235)","(-0.0008283372,0.001474549,-0.0003865784)",True
6022,6812,2023-03-10T14:08:38.856942,12172,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.0005523178,0.01085183,0.002664687)","(0.3981303,1.132566,0.1615713)","(-0.471137,0.5164969,-0.04134649,0.7138287)","(0.0001586735,0.00077867,0.0001672288)",True
6023,6813,2023-03-10T14:08:38.867941,12173,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.01369234,0.001910629,-0.003795913)","(0.3981362,1.132612,0.1616347)","(-0.4714392,0.5165757,-0.04129378,0.7135751)","(0.0004602939,0.001683274,0.0008415355)",True
6024,6814,2023-03-10T14:08:38.890941,12175,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003062918,0.01364487,-0.006226061)","(0.3981021,1.132601,0.1616985)","(-0.4714265,0.5161953,-0.04129142,0.7138589)","(-8.222525E-05,0.0005905553,0.0009087904)",True
6025,6815,2023-03-10T14:08:38.912941,12177,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.005134763,0.003264263,-0.003636764)","(0.3980499,1.132662,0.1616964)","(-0.4712959,0.5163517,-0.04115457,0.7138399)","(-0.0008039994,0.001869099,0.0005524714)",True
6026,6816,2023-03-10T14:08:38.934943,12179,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003859873,0.005632869,-0.002546566)","(0.3983369,1.1326,0.1615867)","(-0.4715153,0.5162494,-0.04144263,0.7137523)","(0.0009601384,0.0009303457,-0.0002750869)",True
6027,6817,2023-03-10T14:08:38.957940,12181,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0009870535,0.009144473,-0.001090869)","(0.3982036,1.132596,0.1616241)","(-0.4715766,0.5160596,-0.04147309,0.7138474)","(0.0002441242,0.0004844212,7.501109E-05)",True
6028,6818,2023-03-10T14:08:38.968942,12182,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.006572664,0.003942457,-0.002488343)","(0.3982268,1.132576,0.1615931)","(-0.4717113,0.5161221,-0.04147016,0.7137133)","(0.0003934099,-3.802338E-05,-0.0001203168)",True
6029,6819,2023-03-10T14:08:38.991941,12184,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.00562904,0.01377752,-0.004640426)","(0.3981176,1.132648,0.1616495)","(-0.4717513,0.5157825,-0.04157658,0.7139261)","(-0.0002380356,0.001351798,0.0002333499)",True
6030,6820,2023-03-10T14:08:39.013942,12186,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.0007985627,-0.0006900993,-0.004261746)","(0.3980269,1.132601,0.1616528)","(-0.4717302,0.5159476,-0.04135811,0.7138335)","(-0.001080158,0.0002273303,-0.0004919656)",True
6031,6821,2023-03-10T14:08:39.035945,12188,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.004617637,0.01004551,-0.006995897)","(0.3979706,1.132685,0.1616787)","(-0.4719084,0.5156775,-0.04148741,0.7139035)","(-0.001305954,0.001748692,9.578325E-05)",True
6032,6822,2023-03-10T14:08:39.057942,12190,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.002183042,0.004664436,-0.002777178)","(0.3980345,1.132637,0.1617036)","(-0.4718005,0.5157009,-0.04150093,0.713957)","(-0.0005410978,0.0004656997,0.000190583)",True
6033,6823,2023-03-10T14:08:39.068941,12191,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.007332246,0.008359417,-0.006924248)","(0.3980348,1.132692,0.1616887)","(-0.4720101,0.5155897,-0.0415657,0.713895)","(-0.0005690416,0.001637812,5.397903E-05)",True
6034,6824,2023-03-10T14:08:39.091941,12193,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003017479,0.006859264,-0.005586919)","(0.3979565,1.13268,0.161687)","(-0.4720302,0.5154791,-0.04158943,0.7139602)","(-0.001226751,0.001029792,-0.0002831187)",True
6035,6825,2023-03-10T14:08:39.113941,12195,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.00113107,0.009205668,-0.005619648)","(0.3979259,1.132725,0.1617466)","(-0.4720435,0.515404,-0.04159136,0.7140055)","(-0.00127204,0.001696535,0.0004306419)",True
6036,6826,2023-03-10T14:08:39.135941,12197,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.01375546,0.01737212,-0.006576087)","(0.3978856,1.132681,0.1618325)","(-0.4722977,0.5151227,-0.04188253,0.7140234)","(-0.001244055,0.000612243,0.001193604)",True
6037,6827,2023-03-10T14:08:39.147941,12198,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.001477281,0.009059095,-0.005707644)","(0.397868,1.132687,0.1618753)","(-0.4720325,0.5151815,-0.04167807,0.7141683)","(-0.001070299,0.0008950758,0.0009605517)",True
6038,6828,2023-03-10T14:08:39.169941,12200,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.004398134,0.005083612,-0.004805584)","(0.3978679,1.132674,0.1618827)","(-0.4722039,0.5152019,-0.04173771,0.7140368)","(-0.0007412493,0.000634236,0.0009696743)",True
6039,6829,2023-03-10T14:08:39.191941,12202,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.01193674,0.009217649,-0.002977605)","(0.3978687,1.132697,0.1619025)","(-0.4724146,0.5150405,-0.04194427,0.7140018)","(-0.0006098674,0.0008711008,0.001502205)",True
6040,6830,2023-03-10T14:08:39.214941,12204,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(-0.002018582,0.007725561,-0.0004712264)","(0.3978874,1.132689,0.1618862)","(-0.4722018,0.5150481,-0.04182052,0.7141442)","(-7.932763E-05,0.0003257922,0.0005361764)",True
6041,6831,2023-03-10T14:08:39.236941,12206,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.009328889,0.01093506,-0.006061089)","(0.3978488,1.132799,0.1619147)","(-0.4725046,0.5148745,-0.04192577,0.714063)","(-0.0008285277,0.002200336,0.0007793976)",True
6042,6832,2023-03-10T14:08:39.247942,12207,HTC,OpenVR Controller(VIVE Tracker 3.0 MV) - Right,LHR-9E483859,"(0,0,0)","(0,0,0)","(0.003845635,0.007521367,-0.005543661)","(0.3978084,1.13279,0.161863)","(-0.4724343,0.5148576,-0.04187155,0.7141249)","(-0.0009364774,0.001459944,-0.000347363)",True
