,Matrix
41,"[[-0.65461021 -0.71643572  0.2412578 ]
 [ 0.49936782 -0.6494012  -0.57350664]
 [ 0.56755374 -0.25494692  0.78286961]]"
42,"[[-0.6547477  -0.71521034  0.24449876]
 [ 0.49681677 -0.65100792 -0.57390051]
 [ 0.5696302  -0.25428896  0.78157446]]"
43,"[[-0.65488594 -0.71415134  0.24720897]
 [ 0.49472111 -0.65240367 -0.57412584]
 [ 0.57129277 -0.25368745  0.78055572]]"
44,"[[-0.65509459 -0.7134061   0.248803  ]
 [ 0.49327904 -0.65327548 -0.57437535]
 [ 0.57229973 -0.25354093  0.77986575]]"
45,"[[-0.65563917 -0.71177435  0.25202088]
 [ 0.49087629 -0.65540417 -0.57400854]
 [ 0.57374011 -0.25263139  0.7791017 ]]"
46,"[[-0.65560676 -0.71080937  0.25481334]
 [ 0.48881571 -0.65671804 -0.57426529]
 [ 0.57553366 -0.25193545  0.7780036 ]]"
47,"[[-0.65595967 -0.70926712  0.25818032]
 [ 0.48592443 -0.65856474 -0.57460418]
 [ 0.5775763  -0.25146105  0.77664219]]"
48,"[[-0.65642092 -0.70756355  0.26165888]
 [ 0.48327028 -0.66073577 -0.5743501 ]
 [ 0.57927659 -0.25056344  0.77566512]]"
49,"[[-0.65639135 -0.70707919  0.26303874]
 [ 0.48223607 -0.66137752 -0.57448073]
 [ 0.5801713  -0.25023739  0.77510148]]"
50,"[[-0.65691794 -0.70538984  0.2662405 ]
 [ 0.47962382 -0.66342891 -0.57430225]
 [ 0.58173862 -0.24957417  0.77414013]]"
51,"[[-0.65719916 -0.70391627  0.26942739]
 [ 0.47728789 -0.6653311  -0.57404769]
 [ 0.58333995 -0.24866921  0.77322566]]"
52,"[[-0.6574252  -0.70243152  0.27273083]
 [ 0.47465079 -0.66715128 -0.57412179]
 [ 0.58523394 -0.24799025  0.77201184]]"
53,"[[-0.65733695 -0.70192321  0.27424797]
 [ 0.47362983 -0.66786483 -0.57413532]
 [ 0.58615948 -0.24750835  0.77146404]]"
54,"[[-0.65745427 -0.70035203  0.27795854]
 [ 0.47053997 -0.6697298  -0.57450341]
 [ 0.58851173 -0.24691913  0.76986041]]"
55,"[[-0.65775219 -0.69856917  0.28171473]
 [ 0.46771981 -0.67195451 -0.57420843]
 [ 0.59042379 -0.24592329  0.7687142 ]]"
56,"[[-0.65805741 -0.69713163  0.28454863]
 [ 0.4655466  -0.67370928 -0.57391824]
 [ 0.59179962 -0.24520049  0.76788659]]"
57,"[[-0.65807315 -0.69555649  0.28834152]
 [ 0.46270382 -0.67567873 -0.57390188]
 [ 0.59400744 -0.24425266  0.76648253]]"
58,"[[-0.65863134 -0.6944525   0.28972499]
 [ 0.46147107 -0.67690839 -0.57344535]
 [ 0.59434779 -0.24398942  0.76630304]]"
59,"[[-0.65846554 -0.69306982  0.2933894 ]
 [ 0.45897408 -0.67873993 -0.57328431]
 [ 0.59646116 -0.24282982  0.76502791]]"
60,"[[-0.65898351 -0.69102768  0.29702119]
 [ 0.45603207 -0.68110207 -0.57283053]
 [ 0.59814345 -0.24203474  0.76396608]]"
61,"[[-0.65941769 -0.68931865  0.30001358]
 [ 0.45401702 -0.6832303  -0.57189591]
 [ 0.59919686 -0.24090702  0.76349662]]"
62,"[[-0.65925486 -0.68781788  0.30379189]
 [ 0.45099433 -0.68498643 -0.57218671]
 [ 0.60165361 -0.24020841  0.7617824 ]]"
63,"[[-0.65935452 -0.68705619  0.30529556]
 [ 0.44967812 -0.68581803 -0.57222653]
 [ 0.60252899 -0.2400154   0.76115129]]"
64,"[[-0.65937816 -0.68530358  0.30915927]
 [ 0.44631315 -0.68772948 -0.57256681]
 [ 0.60500002 -0.23955621  0.75933382]]"
65,"[[-0.65986334 -0.68333349  0.31246713]
 [ 0.44308896 -0.68973133 -0.57266295]
 [ 0.60683814 -0.23942854  0.7579059 ]]"
66,"[[-0.65994201 -0.68182103  0.31558939]
 [ 0.4407488  -0.69151176 -0.5723216 ]
 [ 0.60845466 -0.23860344  0.75686956]]"
67,"[[-0.66004388 -0.68098486  0.31717774]
 [ 0.43927968 -0.69237674 -0.57240529]
 [ 0.60940582 -0.23848288  0.75614186]]"
68,"[[-0.65997671 -0.67935995  0.32078156]
 [ 0.43629538 -0.69417562 -0.57250899]
 [ 0.61161842 -0.23788709  0.75454135]]"
69,"[[-0.66006322 -0.67775586  0.32398061]
 [ 0.43348812 -0.69587549 -0.57257773]
 [ 0.61351812 -0.23749569  0.75312066]]"
70,"[[-0.66023426 -0.67582256  0.32765007]
 [ 0.43043112 -0.69797649 -0.57232669]
 [ 0.61548335 -0.23683889  0.75172299]]"
71,"[[-0.65966955 -0.67469998  0.33108309]
 [ 0.42778609 -0.69928991 -0.57270645]
 [ 0.6179281  -0.23616426  0.74992751]]"
72,"[[-0.65972173 -0.67359747  0.33321711]
 [ 0.42589599 -0.70043529 -0.57271544]
 [ 0.61917671 -0.23591697  0.74897476]]"
