Timestamp;FrameCount;Manufacturer;Name;SerialNumber;Acceleration;AngularAcceleration;AngularVelocity;Position;Rotation;Velocity;IsTracked
2023-03-01T18:49:48.779356;4;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-8.207501E-05,0.0007718798,-0.001314719);(0.01933546,1.207651,0.1907961);(0.01916517,-0.2014515,-0.0278189,-0.9789158);(0.008462168,5.525302E-05,-0.007500494);True
2023-03-01T18:49:48.779356;4;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-8.207501E-05,0.0007718798,-0.001314719);(0.01933546,1.207651,0.1907961);(0.01916517,-0.2014515,-0.0278189,-0.9789158);(0.008462168,5.525302E-05,-0.007500494);True
2023-03-01T18:49:48.830653;5;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.002198732,-0.0001288993,0.001233099);(0.01921374,1.207818,0.1908639);(0.01923872,-0.2015121,-0.02775981,-0.9789035);(0.007776828,0.001913609,-0.007506802);True
2023-03-01T18:49:48.831653;5;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.002198732,-0.0001288993,0.001233099);(0.01921374,1.207818,0.1908639);(0.01923872,-0.2015121,-0.02775981,-0.9789035);(0.007776828,0.001913609,-0.007506802);True
2023-03-01T18:49:48.838707;6;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.0004042115,-0.0002688942,-0.0003245995);(0.01874723,1.207698,0.1912808);(0.01924287,-0.2015794,-0.02779262,-0.9788888);(0.005813331,0.001075475,-0.005962407);True
2023-03-01T18:49:48.874479;7;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.0007578284,0.0008217948,0.0006621046);(0.01867879,1.207696,0.1913067);(0.0193156,-0.2016147,-0.02761785,-0.978885);(0.005383626,0.0009055389,-0.005740484);True
2023-03-01T18:49:48.902516;8;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.002134273,0.002759266,-0.0004966857);(0.01841205,1.207527,0.19162);(0.01943332,-0.201562,-0.02754834,-0.9788954);(0.004730113,-0.0005887352,-0.004322266);True
2023-03-01T18:49:48.902516;8;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.002134273,0.002759266,-0.0004966857);(0.01841205,1.207527,0.19162);(0.01943332,-0.201562,-0.02754834,-0.9788954);(0.004730113,-0.0005887352,-0.004322266);True
2023-03-01T18:49:48.929698;9;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0009136816,-0.0003638476,-0.0008573482);(0.01822696,1.207406,0.1917819);(0.01968656,-0.201564,-0.02735193,-0.9788954);(0.00407209,-0.001323145,-0.004391128);True
2023-03-01T18:49:48.958964;10;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.002838886,-6.684884E-05,-0.0001104305);(0.01837953,1.207561,0.1919215);(0.0197005,-0.2011636,-0.02725043,-0.9789803);(0.005370166,0.0003407614,-0.002867089);True
2023-03-01T18:49:48.959949;10;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.002838886,-6.684884E-05,-0.0001104305);(0.01837953,1.207561,0.1919215);(0.0197005,-0.2011636,-0.02725043,-0.9789803);(0.005370166,0.0003407614,-0.002867089);True
2023-03-01T18:49:48.986237;11;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.0017978,0.0009468262,0.0002853234);(0.01841253,1.207714,0.1916181);(0.01975888,-0.2010792,-0.02724506,-0.9789966);(0.004950772,0.001606757,-0.005337914);True
2023-03-01T18:49:49.018923;12;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0005932837,0.0007980818,0.0001134307);(0.01803518,1.207604,0.1920741);(0.01957857,-0.2010562,-0.02734033,-0.9790024);(0.004033075,0.000511427,-0.002769223);True
