,Matrix
41,"[[-0.0521605   0.00107405  0.99863813]
 [ 0.04218164 -0.99910458  0.00327777]
 [ 0.99774745  0.04229516  0.05206847]]"
42,"[[-5.23799420e-02  6.60267981e-04  9.98626917e-01]
 [ 4.30055722e-02 -9.99070576e-01  2.91628368e-03]
 [ 9.97700694e-01  4.30992807e-02  5.23026662e-02]]"
43,"[[-5.28795922e-02  3.35078653e-04  9.98600850e-01]
 [ 4.41903844e-02 -9.99019546e-01  2.67526322e-03]
 [ 9.97622664e-01  4.42700218e-02  5.28129612e-02]]"
44,"[[-5.27854852e-02 -1.10987796e-04  9.98605903e-01]
 [ 4.42148851e-02 -9.99019564e-01  2.22613025e-03]
 [ 9.97626587e-01  4.42707510e-02  5.27387137e-02]]"
45,"[[-5.29113015e-02 -2.57412224e-04  9.98599165e-01]
 [ 4.38856366e-02 -9.99034421e-01  2.06777830e-03]
 [ 9.97634407e-01  4.39335697e-02  5.28714717e-02]]"
46,"[[-5.28555244e-02 -1.66511098e-04  9.98602279e-01]
 [ 4.30699764e-02 -9.99069824e-01  2.11308903e-03]
 [ 9.97673050e-01  4.31214597e-02  5.28137895e-02]]"
47,"[[-5.29608996e-02  2.66155775e-04  9.98596496e-01]
 [ 4.23382523e-02 -9.99100177e-01  2.51171094e-03]
 [ 9.97698605e-01  4.24118552e-02  5.29018599e-02]]"
48,"[[-5.33480639e-02  4.13538948e-04  9.98575976e-01]
 [ 4.26711796e-02 -9.99085540e-01  2.69342489e-03]
 [ 9.97663932e-01  4.27541003e-02  5.32818088e-02]]"
49,"[[-5.30572924e-02  2.79948922e-04  9.98591473e-01]
 [ 4.28969932e-02 -9.99076222e-01  2.55929537e-03]
 [ 9.97669713e-01  4.29723591e-02  5.29963587e-02]]"
50,"[[-5.35771406e-02 -1.82839765e-04  9.98563745e-01]
 [ 4.38693287e-02 -9.99034919e-01  2.17085000e-03]
 [ 9.97599653e-01  4.39226270e-02  5.35335574e-02]]"
51,"[[-5.31671717e-02 -6.57192046e-04  9.98585532e-01]
 [ 4.44021775e-02 -9.99012279e-01  1.70661489e-03]
 [ 9.97598087e-01  4.44301024e-02  5.31440972e-02]]"
52,"[[-5.33192288e-02 -5.97218384e-04  9.98577256e-01]
 [ 4.34956098e-02 -9.99052129e-01  1.72495046e-03]
 [ 9.97629703e-01  4.35257034e-02  5.32944892e-02]]"
53,"[[-5.30929112e-02 -4.87815648e-04  9.98589548e-01]
 [ 4.29722791e-02 -9.99074650e-01  1.79669737e-03]
 [ 9.97664627e-01  4.30070567e-02  5.30649354e-02]]"
54,"[[-5.30983800e-02 -4.38168462e-04  9.98589384e-01]
 [ 4.29303113e-02 -9.99076367e-01  1.84437665e-03]
 [ 9.97666246e-01  4.29676781e-02  5.30685573e-02]]"
55,"[[-5.28288295e-02 -1.67962412e-04  9.98603686e-01]
 [ 4.31482546e-02 -9.99066443e-01  2.11462418e-03]
 [ 9.97671077e-01  4.31997141e-02  5.27870060e-02]]"
56,"[[-5.23826646e-02 -2.95534391e-04  9.98627020e-01]
 [ 4.38458394e-02 -9.99036298e-01  2.00426310e-03]
 [ 9.97664049e-01  4.38906295e-02  5.23450942e-02]]"
57,"[[-5.21427563e-02 -3.74665136e-04  9.98639718e-01]
 [ 4.41337803e-02 -9.99023767e-01  1.92958915e-03]
 [ 9.97664090e-01  4.41743535e-02  5.21086983e-02]]"
58,"[[-5.19288325e-02 -4.48039905e-04  9.98650698e-01]
 [ 4.43928778e-02 -9.99012418e-01  1.86018332e-03]
 [ 9.97663616e-01  4.44295751e-02  5.18974605e-02]]"
59,"[[-5.19947717e-02 -2.08382179e-04  9.98647364e-01]
 [ 4.38066468e-02 -9.99037879e-01  2.07233937e-03]
 [ 9.97686113e-01  4.38551419e-02  5.19539363e-02]]"
60,"[[-5.17767239e-02  5.77836562e-05  9.98658879e-01]
 [ 4.32976018e-02 -9.99059566e-01  2.30263430e-03]
 [ 9.97719839e-01  4.33587489e-02  5.17259400e-02]]"
