,Unnamed: 0.1,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz,new_ax,new_ay,new_az
33,2896,6144,0,2023-04-06T20:09:38.526682,3989185,2135,791,-627,-1063,-570,-467,170,-4,-370,2134.7093069860093,789.0711752697595,-628.9918408880064
34,2897,6145,0,2023-04-06T20:09:38.531261,3989190,2134,788,-631,-1067,-563,-481,170,-4,-370,2134.9719403564145,789.5767485438536,-628.9979096899291
35,2898,6146,0,2023-04-06T20:09:38.536246,3989195,2134,788,-631,-1067,-563,-481,170,-4,-370,2135.1987130917432,790.0437374347042,-628.9485395314003
36,2899,6147,0,2023-04-06T20:09:38.540853,3989199,2134,788,-631,-1067,-563,-481,170,-4,-370,2135.3768622231128,790.4593563295507,-628.8362562351939
37,2900,6148,0,2023-04-06T20:09:38.545853,3989204,2134,788,-631,-1067,-563,-481,170,-4,-370,2135.4934415208254,790.8106448073515,-628.662003484269
38,2901,6149,0,2023-04-06T20:09:38.550578,3989210,2137,793,-629,-1060,-569,-470,179,-3,-375,2135.536495331817,791.0846261223838,-628.436562582907
39,2902,6150,0,2023-04-06T20:09:38.555305,3989215,2137,793,-629,-1060,-569,-470,179,-3,-375,2135.4972297315703,791.2703018109446,-628.1800251903076
40,2903,6151,0,2023-04-06T20:09:38.559663,3989219,2137,793,-629,-1060,-569,-470,179,-3,-375,2135.3725955259256,791.3616912643764,-627.9195614893048
41,2904,6152,0,2023-04-06T20:09:38.564796,3989224,2137,793,-629,-1060,-569,-470,179,-3,-375,2135.1673732454924,791.3606066850998,-627.6859022770744
42,2905,6153,0,2023-04-06T20:09:38.569346,3989228,2135,792,-624,-1063,-560,-460,179,-3,-375,2134.8950397326516,791.2781788222237,-627.5088482353844
43,2906,6154,0,2023-04-06T20:09:38.574631,3989233,2135,792,-624,-1063,-560,-460,179,-3,-375,2134.577199468301,791.134848609582,-627.4122286893365
44,2907,6155,0,2023-04-06T20:09:38.579206,3989238,2135,792,-624,-1063,-560,-460,179,-3,-375,2134.241809632691,790.9589899066864,-627.4093109582919
45,2908,6156,0,2023-04-06T20:09:38.584172,3989243,2135,792,-624,-1063,-560,-460,179,-3,-375,2133.9205712432495,790.7844110187779,-627.5000772392177
46,2909,6157,0,2023-04-06T20:09:38.588646,3989248,2135,792,-624,-1063,-560,-460,179,-3,-375,2133.6456595277623,790.646848007827,-627.6714649193534
47,2910,6158,0,2023-04-06T20:09:38.593124,3989252,2130,787,-633,-1063,-557,-473,179,-3,-375,2133.44574644953,790.5794707234276,-627.9008989158826
48,2911,6159,0,2023-04-06T20:09:38.598216,3989257,2130,787,-633,-1063,-557,-473,179,-3,-375,2133.341519619304,790.6077407764355,-628.1624249857151
49,2912,6160,0,2023-04-06T20:09:38.602977,3989262,2130,787,-633,-1063,-557,-473,179,-3,-375,2133.341624697301,790.7446906087855,-628.4334700603711
50,2913,6161,0,2023-04-06T20:09:38.608456,3989268,2130,787,-633,-1063,-557,-473,179,-3,-375,2133.4404228507974,790.9881526212771,-628.6996014788559
51,2914,6162,0,2023-04-06T20:09:38.612856,3989272,2135,793,-627,-1063,-566,-465,179,-3,-375,2133.6185691355563,791.3210655303789,-628.955496702131
