,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
13300,4194,0,2023-03-01T18:51:01.648088,1651168,1285,1906,-464,-1171,-771,-304,-53,163,-313
13301,4195,0,2023-03-01T18:51:01.653414,1651173,1285,1906,-464,-1171,-771,-304,-53,163,-313
13302,4196,0,2023-03-01T18:51:01.658649,1651179,1285,1906,-464,-1171,-771,-304,-53,163,-313
13303,4197,0,2023-03-01T18:51:01.663740,1651183,1285,1906,-464,-1171,-771,-304,-53,163,-313
13304,4198,0,2023-03-01T18:51:01.668352,1651188,1286,1907,-461,-1160,-766,-299,-53,163,-313
13305,4199,0,2023-03-01T18:51:01.673730,1651193,1286,1907,-461,-1160,-766,-299,-53,163,-313
13306,4200,0,2023-03-01T18:51:01.679413,1651200,1286,1907,-461,-1160,-766,-299,-53,163,-313
13307,4201,0,2023-03-01T18:51:01.684797,1651204,1286,1907,-461,-1160,-766,-299,-53,163,-313
13308,4202,0,2023-03-01T18:51:01.689754,1651210,1289,1912,-462,-1159,-775,-308,-53,163,-313
13309,4203,0,2023-03-01T18:51:01.694968,1651215,1289,1912,-462,-1159,-775,-308,-53,163,-313
13310,4204,0,2023-03-01T18:51:01.700653,1651220,1289,1912,-462,-1159,-775,-308,-53,163,-313
13311,4205,0,2023-03-01T18:51:01.705348,1651225,1289,1912,-462,-1159,-775,-308,-53,163,-313
13312,4206,0,2023-03-01T18:51:01.710173,1651230,1285,1904,-457,-1140,-792,-292,-53,163,-313
13313,4207,0,2023-03-01T18:51:01.716127,1651236,1285,1904,-457,-1140,-792,-292,-53,163,-313
13314,4208,0,2023-03-01T18:51:01.721120,1651240,1285,1904,-457,-1140,-792,-292,-53,163,-313
13315,4209,0,2023-03-01T18:51:01.726252,1651246,1281,1907,-451,-1166,-774,-309,-51,165,-311
13316,4210,0,2023-03-01T18:51:01.731996,1651252,1281,1907,-451,-1166,-774,-309,-51,165,-311
13317,4211,0,2023-03-01T18:51:01.737265,1651257,1281,1907,-451,-1166,-774,-309,-51,165,-311
13318,4212,0,2023-03-01T18:51:01.742105,1651262,1281,1907,-451,-1166,-774,-309,-51,165,-311
13319,4213,0,2023-03-01T18:51:01.746944,1651267,1286,1905,-463,-1172,-784,-296,-51,165,-311
13320,4214,0,2023-03-01T18:51:01.752977,1651273,1286,1905,-463,-1172,-784,-296,-51,165,-311
13321,4215,0,2023-03-01T18:51:01.758304,1651278,1286,1905,-463,-1172,-784,-296,-51,165,-311
13322,4216,0,2023-03-01T18:51:01.763412,1651283,1286,1905,-463,-1172,-784,-296,-51,165,-311
13323,4217,0,2023-03-01T18:51:01.769158,1651289,1289,1912,-461,-1172,-773,-311,-51,165,-311
13324,4218,0,2023-03-01T18:51:01.774350,1651295,1289,1912,-461,-1172,-773,-311,-51,165,-311
13325,4219,0,2023-03-01T18:51:01.779883,1651300,1289,1912,-461,-1172,-773,-311,-51,165,-311
13326,4220,0,2023-03-01T18:51:01.784829,1651304,1289,1912,-461,-1172,-773,-311,-51,165,-311
13327,4221,0,2023-03-01T18:51:01.791634,1651310,1286,1903,-457,-1166,-775,-311,-51,165,-311
13328,4222,0,2023-03-01T18:51:01.797525,1651317,1286,1903,-457,-1166,-775,-311,-51,165,-311
13329,4223,0,2023-03-01T18:51:01.802932,1651322,1286,1903,-457,-1166,-775,-311,-51,165,-311
13330,4224,0,2023-03-01T18:51:01.807927,1651328,1283,1906,-449,-1176,-780,-310,-51,165,-311
13331,4225,0,2023-03-01T18:51:01.813877,1651334,1283,1906,-449,-1176,-780,-310,-51,165,-311
13332,4226,0,2023-03-01T18:51:01.819452,1651340,1283,1906,-449,-1176,-780,-310,-51,165,-311
13333,4227,0,2023-03-01T18:51:01.825067,1651344,1283,1906,-449,-1176,-780,-310,-51,165,-311
13334,4228,0,2023-03-01T18:51:01.830017,1651350,1287,1904,-457,-1176,-783,-307,-51,165,-311
13335,4229,0,2023-03-01T18:51:01.835817,1651355,1287,1904,-457,-1176,-783,-307,-51,165,-311
13336,4230,0,2023-03-01T18:51:01.841469,1651361,1287,1904,-457,-1176,-783,-307,-51,165,-311
13337,4231,0,2023-03-01T18:51:01.847078,1651366,1287,1909,-462,-1177,-785,-300,-50,156,-308
13338,4232,0,2023-03-01T18:51:01.853931,1651374,1287,1909,-462,-1177,-785,-300,-50,156,-308
13339,4233,0,2023-03-01T18:51:01.859510,1651380,1287,1909,-462,-1177,-785,-300,-50,156,-308
13340,4234,0,2023-03-01T18:51:01.864421,1651384,1287,1909,-462,-1177,-785,-300,-50,156,-308
13341,4235,0,2023-03-01T18:51:01.869357,1651389,1289,1912,-460,-1178,-794,-303,-50,156,-308
13342,4236,0,2023-03-01T18:51:01.874704,1651394,1289,1912,-460,-1178,-794,-303,-50,156,-308
13343,4237,0,2023-03-01T18:51:01.880482,1651400,1289,1912,-460,-1178,-794,-303,-50,156,-308
13344,4238,0,2023-03-01T18:51:01.885894,1651405,1289,1912,-460,-1178,-794,-303,-50,156,-308
13345,4239,0,2023-03-01T18:51:01.891395,1651411,1283,1901,-460,-1160,-803,-289,-50,156,-308
13346,4240,0,2023-03-01T18:51:01.896976,1651417,1283,1901,-460,-1160,-803,-289,-50,156,-308
13347,4241,0,2023-03-01T18:51:01.902132,1651422,1283,1901,-460,-1160,-803,-289,-50,156,-308
13348,4242,0,2023-03-01T18:51:01.906863,1651427,1287,1910,-453,-1165,-788,-298,-50,156,-308
13349,4243,0,2023-03-01T18:51:01.913084,1651433,1287,1910,-453,-1165,-788,-298,-50,156,-308
13350,4244,0,2023-03-01T18:51:01.918560,1651438,1287,1910,-453,-1165,-788,-298,-50,156,-308
