,Unnamed: 0.1,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz,new_ax,new_ay,new_az
0,1636,4884,0,2023-04-06T20:09:32.398021,3983056,2190,554,-631,-1067,-550,-484,208,-6,-362,2190.2565296662124,557.4890439853451,-620.5683890804037
1,1637,4885,0,2023-04-06T20:09:32.403337,3983063,2187,556,-621,-1054,-562,-471,208,-6,-362,2190.414554798688,557.6453566346111,-620.4528603022649
2,1638,4886,0,2023-04-06T20:09:32.408304,3983067,2187,556,-621,-1054,-562,-471,208,-6,-362,2190.615748341147,557.8424876632891,-620.3706737403206
3,1639,4887,0,2023-04-06T20:09:32.412959,3983072,2187,556,-621,-1054,-562,-471,208,-6,-362,2190.848610876711,558.0708960223549,-620.360149462917
4,1640,4888,0,2023-04-06T20:09:32.417832,3983077,2187,556,-621,-1054,-562,-471,208,-6,-362,2191.092110712627,558.3144375335471,-620.4632865940599
5,1641,4889,0,2023-04-06T20:09:32.422635,3983082,2196,562,-617,-1060,-569,-464,208,-6,-362,2191.3186418002942,558.5529430267904,-620.7192442945109
6,1642,4890,0,2023-04-06T20:09:32.427490,3983086,2196,562,-617,-1060,-569,-464,208,-6,-362,2191.499834925742,558.7662680098555,-621.1575460274919
7,1643,4891,0,2023-04-06T20:09:32.431798,3983091,2196,562,-617,-1060,-569,-464,208,-6,-362,2191.613364568195,558.9385930659373,-621.7922447415928
8,1644,4892,0,2023-04-06T20:09:32.436408,3983095,2196,562,-617,-1060,-569,-464,208,-6,-362,2191.6481185456537,559.0613071350004,-622.6185917463721
9,1645,4893,0,2023-04-06T20:09:32.441630,3983100,2190,557,-628,-1069,-562,-486,208,-6,-362,2191.605861133887,559.1333359255548,-623.6134356577454
10,1646,4894,0,2023-04-06T20:09:32.446558,3983106,2190,557,-628,-1069,-562,-486,208,-6,-362,2191.499212101274,559.1589883805798,-624.7393261165852
11,1647,4895,0,2023-04-06T20:09:32.450952,3983110,2190,557,-628,-1069,-562,-486,208,-6,-362,2191.347256421408,559.1445332156129,-625.9505987920822
12,1648,4896,0,2023-04-06T20:09:32.455348,3983115,2190,557,-628,-1069,-562,-486,208,-6,-362,2191.17064506347,559.095159553957,-627.1989465636109
13,1649,4897,0,2023-04-06T20:09:32.459962,3983119,2190,557,-628,-1069,-562,-486,208,-6,-362,2190.9875134156537,559.0135357275301,-628.436976102933
14,1650,4898,0,2023-04-06T20:09:32.464779,3983124,2189,561,-630,-1062,-561,-480,208,-6,-362,2190.810662786942,558.900365743237,-629.6198642350375
15,1651,4899,0,2023-04-06T20:09:32.469658,3983128,2189,561,-630,-1062,-561,-480,208,-6,-362,2190.6460291963895,558.756595717854,-630.705976632426
16,1652,4900,0,2023-04-06T20:09:32.474013,3983133,2189,561,-630,-1062,-561,-480,208,-6,-362,2190.492500632528,558.5862415846514,-631.6571922193152
17,1653,4901,0,2023-04-06T20:09:32.478517,3983137,2189,561,-630,-1062,-561,-480,208,-6,-362,2190.3432242964645,558.3984620770366,-632.4394654483848
18,1654,4902,0,2023-04-06T20:09:32.483526,3983142,2193,557,-635,-1066,-572,-476,208,-6,-362,2190.188410549881,558.2078511342078,-633.0241424765729
19,1655,4903,0,2023-04-06T20:09:32.488584,3983148,2193,557,-635,-1066,-572,-476,208,-6,-362,2190.0191896379583,558.0327846108362,-633.3903037030678
20,1656,4904,0,2023-04-06T20:09:32.493086,3983152,2193,557,-635,-1066,-572,-476,208,-6,-362,2189.831432286764,557.8925263534187,-633.5276862030818
21,1657,4905,0,2023-04-06T20:09:32.497896,3983157,2193,557,-635,-1066,-572,-476,208,-6,-362,2189.6281088567334,557.8041773485616,-633.4391828384453
22,1658,4906,0,2023-04-06T20:09:32.503399,3983162,2187,557,-634,-1051,-556,-481,199,-5,-361,2189.41916093846,557.7802522693903,-633.1421124938222
23,1659,4907,0,2023-04-06T20:09:32.508832,3983167,2187,557,-634,-1051,-556,-481,199,-5,-361,2189.2188873572395,557.8271330850826,-632.6680237998753
24,1660,4908,0,2023-04-06T20:09:32.513459,3983172,2187,557,-634,-1051,-556,-481,199,-5,-361,2189.0420038280035,557.9443828075683,-632.0611138757472
25,1661,4909,0,2023-04-06T20:09:32.517738,3983176,2187,557,-634,-1051,-556,-481,199,-5,-361,2188.900069606316,558.1248999091542,-631.3753012861316
26,1662,4910,0,2023-04-06T20:09:32.522862,3983181,2189,559,-628,-1065,-554,-469,199,-5,-361,2188.799478466944,558.3559289014289,-630.669838677551
27,1663,4911,0,2023-04-06T20:09:32.527941,3983186,2189,559,-628,-1065,-554,-469,199,-5,-361,2188.7412225508224,558.6208509099991,-630.0035549688538
28,1664,4912,0,2023-04-06T20:09:32.532582,3983192,2189,559,-628,-1065,-554,-469,199,-5,-361,2188.7219116079536,558.9014537093963,-629.428514567253
29,1665,4913,0,2023-04-06T20:09:32.537063,3983196,2189,559,-628,-1065,-554,-469,199,-5,-361,2188.735315496883,559.1802710157991,-628.9843186011449
