,Unnamed: 0.1,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz,new_ax,new_ay,new_az
0,3681,6929,0,2023-04-06T20:09:42.297479,3992956,2082,936,-616,-1060,-561,-478,159,-1,-361,2081.5479333711146,936.0934527618703,-617.9194487686478
1,3682,6930,0,2023-04-06T20:09:42.302203,3992962,2082,936,-616,-1060,-561,-478,159,-1,-361,2081.497299812779,936.0708276278019,-618.0898132804668
2,3683,6931,0,2023-04-06T20:09:42.307219,3992967,2082,936,-616,-1060,-561,-478,159,-1,-361,2081.4282969453175,936.0342486012541,-618.3248378701878
3,3684,6932,0,2023-04-06T20:09:42.311865,3992971,2082,936,-616,-1060,-561,-478,159,-1,-361,2081.341591578992,935.980882702613,-618.6249049096539
4,3685,6933,0,2023-04-06T20:09:42.316760,3992976,2081,936,-621,-1056,-566,-468,159,-1,-361,2081.240327569519,935.9089250271131,-618.9840515388281
5,3686,6934,0,2023-04-06T20:09:42.322203,3992981,2081,936,-621,-1056,-566,-468,159,-1,-361,2081.12997245972,935.8182064335587,-619.3915599351253
6,3687,6935,0,2023-04-06T20:09:42.327378,3992986,2081,936,-621,-1056,-566,-468,159,-1,-361,2081.0178356217257,935.7107681403687,-619.8345069619292
7,3688,6936,0,2023-04-06T20:09:42.332492,3992991,2081,936,-621,-1056,-566,-468,159,-1,-361,2080.912475368893,935.5913305088538,-620.3000497776477
8,3689,6937,0,2023-04-06T20:09:42.337100,3992996,2081,936,-621,-1056,-566,-468,159,-1,-361,2080.8231257643833,935.4675659938147,-620.776665785681
9,3690,6938,0,2023-04-06T20:09:42.341519,3993000,2081,936,-621,-1056,-566,-468,159,-1,-361,2080.7591309261343,935.3500713422068,-621.2543113591694
10,3691,6939,0,2023-04-06T20:09:42.346673,3993006,2081,936,-621,-1056,-566,-468,159,-1,-361,2080.7293030561755,935.2519241773217,-621.7238820580333
11,3692,6940,0,2023-04-06T20:09:42.351572,3993011,2081,936,-621,-1056,-566,-468,159,-1,-361,2080.7411208808435,935.1877068714928,-622.1764481635107
12,3693,6941,0,2023-04-06T20:09:42.356021,3993015,2080,934,-623,-1064,-564,-480,159,-1,-361,2080.7997261580877,935.1719202966311,-622.6027094919891
13,3694,6942,0,2023-04-06T20:09:42.361107,3993020,2080,934,-623,-1064,-564,-480,159,-1,-361,2080.906788311,935.2168884773941,-622.9929476020138
14,3695,6943,0,2023-04-06T20:09:42.365971,3993025,2080,934,-623,-1064,-564,-480,159,-1,-361,2081.0594896038583,935.3305734482768,-623.3374519872282
15,3696,6944,0,2023-04-06T20:09:42.370383,3993029,2080,934,-623,-1064,-564,-480,159,-1,-361,2081.2500068710724,935.514924743862,-623.6272121808502
16,3697,6945,0,2023-04-06T20:09:42.375073,3993034,2082,936,-625,-1061,-565,-464,159,-1,-361,2081.465800956172,935.7652566933402,-623.8547576493227
17,3698,6946,0,2023-04-06T20:09:42.380250,3993039,2082,936,-625,-1061,-565,-464,159,-1,-361,2081.690767547759,936.0707697375659,-624.0151079960585
18,3699,6947,0,2023-04-06T20:09:42.385195,3993044,2082,936,-625,-1061,-565,-464,159,-1,-361,2081.9069748092984,936.4159565539178,-624.1066155835971
19,3700,6948,0,2023-04-06T20:09:42.390084,3993049,2082,936,-625,-1061,-565,-464,159,-1,-361,2082.0965624972127,936.7825065348142,-624.131295400917
20,3701,6949,0,2023-04-06T20:09:42.394669,3993054,2083,939,-623,-1058,-571,-460,159,-1,-361,2082.243527251988,937.151484948297,-624.0943609781554
21,3702,6950,0,2023-04-06T20:09:42.399696,3993059,2083,939,-623,-1058,-571,-460,159,-1,-361,2082.3353151525416,937.5056484795166,-624.0030602402453
22,3703,6951,0,2023-04-06T20:09:42.404666,3993064,2083,939,-623,-1058,-571,-460,159,-1,-361,2082.3641328865397,937.8315116205515,-623.8652819821675
23,3704,6952,0,2023-04-06T20:09:42.409050,3993068,2083,939,-623,-1058,-571,-460,159,-1,-361,2082.327801027651,938.1205768413242,-623.6885323323827
24,3705,6953,0,2023-04-06T20:09:42.413621,3993072,2083,939,-623,-1058,-571,-460,159,-1,-361,2082.2299996164647,938.3693659909114,-623.4796683353894
25,3706,6954,0,2023-04-06T20:09:42.417944,3993077,2082,937,-624,-1059,-561,-481,159,15,-359,2082.0798546236774,938.5783231428093,-623.2454287395256
26,3707,6955,0,2023-04-06T20:09:42.423173,3993082,2082,937,-624,-1059,-561,-481,159,15,-359,2081.8909102304856,938.7500201683497,-622.9935255661005
27,3708,6956,0,2023-04-06T20:09:42.428028,3993088,2082,937,-624,-1059,-561,-481,159,15,-359,2081.679631630619,938.8873899839338,-622.733853956613
28,3709,6957,0,2023-04-06T20:09:42.432527,3993092,2082,937,-624,-1059,-561,-481,159,15,-359,2081.463612365068,938.9928316555628,-622.47927398527
29,3710,6958,0,2023-04-06T20:09:42.436945,3993096,2080,942,-622,-1060,-563,-471,159,15,-359,2081.2595757988042,939.0687575426123,-622.245512355705
30,3711,6959,0,2023-04-06T20:09:42.441864,3993101,2080,942,-622,-1060,-563,-471,159,15,-359,2081.0812543863126,939.1194390363565,-622.0500260728644
31,3712,6960,0,2023-04-06T20:09:42.446745,3993106,2080,942,-622,-1060,-563,-471,159,15,-359,2080.937430123255,939.1531071972887,-621.9100403870191
32,3713,6961,0,2023-04-06T20:09:42.451594,3993111,2080,942,-622,-1060,-563,-471,159,15,-359,2080.830571529439,939.1828099999831,-621.8401691448264
33,3714,6962,0,2023-04-06T20:09:42.456117,3993115,2080,936,-620,-1060,-569,-474,159,15,-359,2080.756366987216,939.224994531132,-621.8499378074016
34,3715,6963,0,2023-04-06T20:09:42.461135,3993120,2080,936,-620,-1060,-569,-474,159,15,-359,2080.704200344186,939.2959524932053,-621.9414571810207
35,3716,6964,0,2023-04-06T20:09:42.466080,3993125,2080,936,-620,-1060,-569,-474,159,15,-359,2080.6584892138007,939.4075126530382,-622.1076892083044
