,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
9100,9994,0,2023-03-01T18:50:38.955600,1628474,1114,1869,294,-792,-500,-241,-51,175,-247
9101,9995,0,2023-03-01T18:50:38.960409,1628479,1115,1869,298,-803,-504,-237,-61,177,-249
9102,9996,0,2023-03-01T18:50:38.966086,1628484,1115,1869,298,-803,-504,-237,-61,177,-249
9103,9997,0,2023-03-01T18:50:38.972131,1628490,1115,1869,298,-803,-504,-237,-61,177,-249
9104,9998,0,2023-03-01T18:50:38.976933,1628495,1115,1869,298,-803,-504,-237,-61,177,-249
9105,9999,0,2023-03-01T18:50:38.981876,1628500,1114,1875,296,-805,-485,-248,-61,177,-249
9106,0,0,2023-03-01T18:50:38.997502,1628516,1114,1870,294,-784,-497,-250,-61,177,-249
9107,1,0,2023-03-01T18:50:39.004174,1628523,1114,1870,294,-784,-497,-250,-61,177,-249
9108,2,0,2023-03-01T18:50:39.010474,1628529,1114,1870,294,-784,-497,-250,-61,177,-249
9109,3,0,2023-03-01T18:50:39.015809,1628534,1114,1870,294,-784,-497,-250,-61,177,-249
9110,4,0,2023-03-01T18:50:39.020534,1628539,1112,1873,288,-803,-497,-246,-61,177,-249
9111,5,0,2023-03-01T18:50:39.026438,1628545,1112,1873,288,-803,-497,-246,-61,177,-249
9112,6,0,2023-03-01T18:50:39.032224,1628551,1112,1873,288,-803,-497,-246,-61,177,-249
9113,7,0,2023-03-01T18:50:39.037452,1628556,1112,1873,288,-803,-497,-246,-61,177,-249
9114,8,0,2023-03-01T18:50:39.042114,1628561,1109,1870,285,-792,-496,-244,-61,177,-249
9115,9,0,2023-03-01T18:50:39.047896,1628566,1109,1870,285,-792,-496,-244,-61,177,-249
9116,10,0,2023-03-01T18:50:39.054269,1628572,1109,1870,285,-792,-496,-244,-61,177,-249
9117,11,0,2023-03-01T18:50:39.059072,1628577,1111,1874,285,-809,-492,-246,-61,177,-249
9118,12,0,2023-03-01T18:50:39.064525,1628583,1111,1874,285,-809,-492,-246,-61,177,-249
9119,13,0,2023-03-01T18:50:39.070581,1628590,1111,1874,285,-809,-492,-246,-61,177,-249
9120,14,0,2023-03-01T18:50:39.075558,1628594,1111,1874,285,-809,-492,-246,-61,177,-249
9121,15,0,2023-03-01T18:50:39.080443,1628599,1115,1872,290,-798,-498,-250,-61,177,-249
9122,16,0,2023-03-01T18:50:39.086120,1628605,1115,1872,290,-798,-498,-250,-61,177,-249
9123,17,0,2023-03-01T18:50:39.092536,1628611,1115,1872,290,-798,-498,-250,-61,177,-249
9124,18,0,2023-03-01T18:50:39.097418,1628616,1115,1872,290,-798,-498,-250,-61,177,-249
9125,19,0,2023-03-01T18:50:39.102695,1628621,1114,1873,283,-799,-514,-250,-57,179,-245
9126,20,0,2023-03-01T18:50:39.107906,1628626,1114,1873,283,-799,-514,-250,-57,179,-245
9127,21,0,2023-03-01T18:50:39.113539,1628632,1114,1873,283,-799,-514,-250,-57,179,-245
9128,22,0,2023-03-01T18:50:39.118331,1628637,1113,1877,288,-801,-496,-246,-57,179,-245
9129,23,0,2023-03-01T18:50:39.123739,1628642,1113,1877,288,-801,-496,-246,-57,179,-245
9130,24,0,2023-03-01T18:50:39.129253,1628648,1113,1877,288,-801,-496,-246,-57,179,-245
9131,25,0,2023-03-01T18:50:39.134429,1628653,1113,1877,288,-801,-496,-246,-57,179,-245
9132,26,0,2023-03-01T18:50:39.139533,1628658,1117,1876,279,-795,-509,-244,-57,179,-245
9133,27,0,2023-03-01T18:50:39.145062,1628663,1117,1876,279,-795,-509,-244,-57,179,-245
9134,28,0,2023-03-01T18:50:39.151183,1628669,1117,1876,279,-795,-509,-244,-57,179,-245
9135,29,0,2023-03-01T18:50:39.156297,1628675,1117,1876,279,-795,-509,-244,-57,179,-245
9136,30,0,2023-03-01T18:50:39.161416,1628680,1115,1874,280,-812,-504,-248,-57,179,-245
9137,31,0,2023-03-01T18:50:39.166869,1628686,1115,1874,280,-812,-504,-248,-57,179,-245
9138,32,0,2023-03-01T18:50:39.172452,1628691,1115,1874,280,-812,-504,-248,-57,179,-245
9139,33,0,2023-03-01T18:50:39.177351,1628696,1115,1874,280,-812,-504,-248,-57,179,-245
9140,34,0,2023-03-01T18:50:39.182360,1628701,1115,1871,279,-809,-512,-250,-57,179,-245
9141,35,0,2023-03-01T18:50:39.187826,1628706,1115,1871,279,-809,-512,-250,-57,179,-245
9142,36,0,2023-03-01T18:50:39.193112,1628711,1115,1871,279,-809,-512,-250,-57,179,-245
9143,37,0,2023-03-01T18:50:39.198054,1628717,1113,1875,278,-814,-504,-241,-57,179,-245
9144,38,0,2023-03-01T18:50:39.203593,1628722,1113,1875,278,-814,-504,-241,-57,179,-245
9145,39,0,2023-03-01T18:50:39.208346,1628727,1113,1875,278,-814,-504,-241,-57,179,-245
