imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2023-03-01T18:52:27.057227,1736582,1278,1825,142,-1277,-610,-395,-20,146,-176
0,2023-03-01T18:52:27.063324,1736588,1278,1825,142,-1277,-610,-395,-20,146,-176
0,2023-03-01T18:52:27.068354,1736593,1278,1825,142,-1277,-610,-395,-20,146,-176
0,2023-03-01T18:52:27.073174,1736598,1276,1824,145,-1276,-613,-408,-20,146,-176
0,2023-03-01T18:52:27.079255,1736603,1276,1824,145,-1276,-613,-408,-20,146,-176
0,2023-03-01T18:52:27.084972,1736609,1276,1824,145,-1276,-613,-408,-20,146,-176
0,2023-03-01T18:52:27.090178,1736614,1276,1824,145,-1276,-613,-408,-20,146,-176
0,2023-03-01T18:52:27.095139,1736620,1279,1829,146,-1275,-614,-401,-20,146,-176
0,2023-03-01T18:52:27.101034,1736626,1279,1829,146,-1275,-614,-401,-20,146,-176
0,2023-03-01T18:52:27.107347,1736632,1279,1829,146,-1275,-614,-401,-20,146,-176
0,2023-03-01T18:52:27.112105,1736637,1280,1826,147,-1270,-611,-397,-20,146,-176
0,2023-03-01T18:52:27.117271,1736642,1280,1826,147,-1270,-611,-397,-20,146,-176
0,2023-03-01T18:52:27.122318,1736647,1280,1826,147,-1270,-611,-397,-20,146,-176
0,2023-03-01T18:52:27.127623,1736652,1280,1826,147,-1270,-611,-397,-20,146,-176
0,2023-03-01T18:52:27.133124,1736657,1282,1826,149,-1292,-621,-408,-24,150,-186
0,2023-03-01T18:52:27.138779,1736664,1282,1826,149,-1292,-621,-408,-24,150,-186
0,2023-03-01T18:52:27.144314,1736669,1282,1826,149,-1292,-621,-408,-24,150,-186
0,2023-03-01T18:52:27.149282,1736674,1282,1826,149,-1292,-621,-408,-24,150,-186
0,2023-03-01T18:52:27.154458,1736679,1282,1822,154,-1275,-617,-403,-24,150,-186
0,2023-03-01T18:52:27.159905,1736684,1282,1822,154,-1275,-617,-403,-24,150,-186
0,2023-03-01T18:52:27.165061,1736690,1282,1822,154,-1275,-617,-403,-24,150,-186
0,2023-03-01T18:52:27.169959,1736694,1282,1822,154,-1275,-617,-403,-24,150,-186
0,2023-03-01T18:52:27.174830,1736699,1279,1822,152,-1276,-614,-403,-24,150,-186
0,2023-03-01T18:52:27.180768,1736706,1279,1822,152,-1276,-614,-403,-24,150,-186
0,2023-03-01T18:52:27.186522,1736712,1279,1822,152,-1276,-614,-403,-24,150,-186
0,2023-03-01T18:52:27.191317,1736716,1277,1822,155,-1277,-609,-402,-24,150,-186
0,2023-03-01T18:52:27.196769,1736721,1277,1822,155,-1277,-609,-402,-24,150,-186
0,2023-03-01T18:52:27.201945,1736727,1277,1822,155,-1277,-609,-402,-24,150,-186
0,2023-03-01T18:52:27.206472,1736731,1277,1822,155,-1277,-609,-402,-24,150,-186
0,2023-03-01T18:52:27.212262,1736736,1275,1824,159,-1267,-607,-406,-24,150,-186
0,2023-03-01T18:52:27.217648,1736742,1275,1824,159,-1267,-607,-406,-24,150,-186
0,2023-03-01T18:52:27.223626,1736749,1275,1824,159,-1267,-607,-406,-24,150,-186
0,2023-03-01T18:52:27.228748,1736754,1275,1824,159,-1267,-607,-406,-24,150,-186
0,2023-03-01T18:52:27.233406,1736758,1280,1823,146,-1283,-621,-399,-24,150,-186
0,2023-03-01T18:52:27.239713,1736764,1280,1823,146,-1283,-621,-399,-24,150,-186
0,2023-03-01T18:52:27.246094,1736771,1280,1823,146,-1283,-621,-399,-24,150,-186
0,2023-03-01T18:52:27.250969,1736775,1277,1823,160,-1273,-612,-407,-24,150,-186
0,2023-03-01T18:52:27.256551,1736781,1277,1823,160,-1273,-612,-407,-24,150,-186
0,2023-03-01T18:52:27.261818,1736786,1277,1823,160,-1273,-612,-407,-24,150,-186
0,2023-03-01T18:52:27.267626,1736792,1277,1823,160,-1273,-612,-407,-24,150,-186
0,2023-03-01T18:52:27.272256,1736797,1275,1825,154,-1288,-625,-403,-21,147,-185
0,2023-03-01T18:52:27.277658,1736802,1275,1825,154,-1288,-625,-403,-21,147,-185
0,2023-03-01T18:52:27.283190,1736808,1275,1825,154,-1288,-625,-403,-21,147,-185
0,2023-03-01T18:52:27.288016,1736813,1275,1825,154,-1288,-625,-403,-21,147,-185
0,2023-03-01T18:52:27.292907,1736817,1273,1819,159,-1287,-618,-396,-21,147,-185
0,2023-03-01T18:52:27.298372,1736823,1273,1819,159,-1287,-618,-396,-21,147,-185
0,2023-03-01T18:52:27.304182,1736828,1273,1819,159,-1287,-618,-396,-21,147,-185
0,2023-03-01T18:52:27.308922,1736834,1273,1819,159,-1287,-618,-396,-21,147,-185
0,2023-03-01T18:52:27.314216,1736839,1273,1819,159,-1287,-618,-396,-21,147,-185
0,2023-03-01T18:52:27.318806,1736844,1273,1819,159,-1287,-618,-396,-21,147,-185
0,2023-03-01T18:52:27.324128,1736849,1273,1819,159,-1287,-618,-396,-21,147,-185
0,2023-03-01T18:52:27.328894,1736853,1273,1819,159,-1287,-618,-396,-21,147,-185
0,2023-03-01T18:52:27.333485,1736858,1280,1822,155,-1273,-624,-404,-21,147,-185
0,2023-03-01T18:52:27.338842,1736863,1280,1822,155,-1273,-624,-404,-21,147,-185
0,2023-03-01T18:52:27.344540,1736869,1280,1822,155,-1273,-624,-404,-21,147,-185
0,2023-03-01T18:52:27.349414,1736875,1280,1822,155,-1273,-624,-404,-21,147,-185
0,2023-03-01T18:52:27.354163,1736879,1275,1826,160,-1269,-625,-411,-21,147,-185
0,2023-03-01T18:52:27.359907,1736885,1275,1826,160,-1269,-625,-411,-21,147,-185
0,2023-03-01T18:52:27.365564,1736890,1275,1826,160,-1269,-625,-411,-21,147,-185
0,2023-03-01T18:52:27.370454,1736895,1275,1826,160,-1269,-625,-411,-21,147,-185
0,2023-03-01T18:52:27.375341,1736900,1274,1822,159,-1269,-624,-407,-21,147,-185
0,2023-03-01T18:52:27.381412,1736906,1274,1822,159,-1269,-624,-407,-21,147,-185
0,2023-03-01T18:52:27.386408,1736911,1274,1822,159,-1269,-624,-407,-21,147,-185
0,2023-03-01T18:52:27.391149,1736915,1274,1826,156,-1277,-620,-404,-21,147,-185
0,2023-03-01T18:52:27.396840,1736922,1274,1826,156,-1277,-620,-404,-21,145,-183
0,2023-03-01T18:52:27.402154,1736927,1274,1826,156,-1277,-620,-404,-21,145,-183
0,2023-03-01T18:52:27.407757,1736932,1274,1826,156,-1277,-620,-404,-21,145,-183
0,2023-03-01T18:52:27.412715,1736937,1275,1823,170,-1272,-623,-400,-21,145,-183
